in s,C1 in V,C2 in V
-1.595936E-04,5.77614E-01,1.68414E-02
-1.595904E-04,5.77614E-01,1.71346E-02
-1.595872E-04,5.79569E-01,1.79166E-02
-1.595840E-04,5.81524E-01,1.73301E-02
-1.595808E-04,5.81524E-01,1.75745E-02
-1.595776E-04,5.75659E-01,1.77211E-02
-1.595744E-04,5.81524E-01,1.75745E-02
-1.595712E-04,5.77614E-01,1.77211E-02
-1.595680E-04,5.75659E-01,1.79166E-02
-1.595648E-04,5.79569E-01,1.76722E-02
-1.595616E-04,5.77614E-01,1.80144E-02
-1.595584E-04,5.83479E-01,1.78189E-02
-1.595552E-04,5.79569E-01,1.76234E-02
-1.595520E-04,5.81524E-01,1.78677E-02
-1.595488E-04,5.77614E-01,1.76234E-02
-1.595456E-04,5.77614E-01,1.73301E-02
-1.595424E-04,5.81524E-01,1.77211E-02
-1.595392E-04,5.81524E-01,1.76234E-02
-1.595360E-04,5.79569E-01,1.71835E-02
-1.595328E-04,5.77614E-01,1.76722E-02
-1.595296E-04,5.87389E-01,1.76234E-02
-1.595264E-04,5.85434E-01,1.71835E-02
-1.595232E-04,5.83479E-01,1.76234E-02
-1.595200E-04,5.81524E-01,1.74279E-02
-1.595168E-04,5.89344E-01,1.71835E-02
-1.595136E-04,5.85434E-01,1.77211E-02
-1.595104E-04,5.79569E-01,1.75745E-02
-1.595072E-04,5.85434E-01,1.71346E-02
-1.595040E-04,5.87389E-01,1.78677E-02
-1.595008E-04,5.85434E-01,1.76234E-02
-1.594976E-04,5.89344E-01,1.71835E-02
-1.594944E-04,5.85434E-01,1.77700E-02
-1.594912E-04,5.83479E-01,1.79166E-02
-1.594880E-04,5.87389E-01,1.70857E-02
-1.594848E-04,5.85434E-01,1.77211E-02
-1.594816E-04,5.87389E-01,1.78677E-02
-1.594784E-04,5.85434E-01,1.72812E-02
-1.594752E-04,5.85434E-01,1.78677E-02
-1.594720E-04,5.87389E-01,1.82099E-02
-1.594688E-04,5.89344E-01,1.73301E-02
-1.594656E-04,5.85434E-01,1.78189E-02
-1.594624E-04,5.89344E-01,1.82587E-02
-1.594592E-04,5.85434E-01,1.73790E-02
-1.594560E-04,5.85434E-01,1.78189E-02
-1.594528E-04,5.87389E-01,1.81121E-02
-1.594496E-04,5.95209E-01,1.77211E-02
-1.594464E-04,5.89344E-01,1.80632E-02
-1.594432E-04,5.85434E-01,1.82099E-02
-1.594400E-04,5.89344E-01,1.79655E-02
-1.594368E-04,5.91299E-01,1.82587E-02
-1.594336E-04,5.87389E-01,1.83076E-02
-1.594304E-04,5.95209E-01,1.77700E-02
-1.594272E-04,5.93254E-01,1.84054E-02
-1.594240E-04,5.95209E-01,1.82587E-02
-1.594208E-04,5.95209E-01,1.76234E-02
-1.594176E-04,5.95209E-01,1.80632E-02
-1.594144E-04,5.93254E-01,1.81121E-02
-1.594112E-04,5.87389E-01,1.75256E-02
-1.594080E-04,5.87389E-01,1.79166E-02
-1.594048E-04,5.97164E-01,1.83076E-02
-1.594016E-04,5.93254E-01,1.75256E-02
-1.593984E-04,5.87389E-01,1.77700E-02
-1.593952E-04,5.91299E-01,1.81121E-02
-1.593920E-04,5.93254E-01,1.76722E-02
-1.593888E-04,5.95209E-01,1.77700E-02
-1.593856E-04,5.89344E-01,1.79655E-02
-1.593824E-04,5.95209E-01,1.78189E-02
-1.593792E-04,5.93254E-01,1.77211E-02
-1.593760E-04,6.01074E-01,1.79655E-02
-1.593728E-04,5.93254E-01,1.79166E-02
-1.593696E-04,5.95209E-01,1.77700E-02
-1.593664E-04,5.97164E-01,1.82099E-02
-1.593632E-04,5.99119E-01,1.79166E-02
-1.593600E-04,5.97164E-01,1.78677E-02
-1.593568E-04,5.99119E-01,1.79166E-02
-1.593536E-04,5.95209E-01,1.77211E-02
-1.593504E-04,6.03029E-01,1.80632E-02
-1.593472E-04,5.97164E-01,1.79166E-02
-1.593440E-04,5.93254E-01,1.75745E-02
-1.593408E-04,5.97164E-01,1.79166E-02
-1.593376E-04,5.99119E-01,1.81121E-02
-1.593344E-04,5.99119E-01,1.78189E-02
-1.593312E-04,6.01074E-01,1.80144E-02
-1.593280E-04,5.97164E-01,1.82099E-02
-1.593248E-04,5.97164E-01,1.79655E-02
-1.593216E-04,5.97164E-01,1.82099E-02
-1.593184E-04,5.97164E-01,1.81121E-02
-1.593152E-04,5.99119E-01,1.80144E-02
-1.593120E-04,6.08894E-01,1.82099E-02
-1.593088E-04,5.95209E-01,1.83076E-02
-1.593056E-04,6.01074E-01,1.79655E-02
-1.593024E-04,6.01074E-01,1.84542E-02
-1.592992E-04,5.99119E-01,1.84542E-02
-1.592960E-04,5.97164E-01,1.79655E-02
-1.592928E-04,6.03029E-01,1.84054E-02
-1.592896E-04,6.03029E-01,1.83076E-02
-1.592864E-04,6.03029E-01,1.80144E-02
-1.592832E-04,5.99119E-01,1.81121E-02
-1.592800E-04,6.03029E-01,1.85031E-02
-1.592768E-04,5.99119E-01,1.80144E-02
-1.592736E-04,6.06939E-01,1.82587E-02
-1.592704E-04,6.04984E-01,1.86009E-02
-1.592672E-04,6.04984E-01,1.81121E-02
-1.592640E-04,6.01074E-01,1.81121E-02
-1.592608E-04,6.04984E-01,1.86986E-02
-1.592576E-04,6.04984E-01,1.85031E-02
-1.592544E-04,6.06939E-01,1.82099E-02
-1.592512E-04,6.01074E-01,1.83076E-02
-1.592480E-04,6.06939E-01,1.85520E-02
-1.592448E-04,6.06939E-01,1.86009E-02
-1.592416E-04,6.04984E-01,1.83076E-02
-1.592384E-04,6.10849E-01,1.86497E-02
-1.592352E-04,6.10849E-01,1.84542E-02
-1.592320E-04,6.06939E-01,1.83076E-02
-1.592288E-04,6.12804E-01,1.84054E-02
-1.592256E-04,6.06939E-01,1.87475E-02
-1.592224E-04,6.06939E-01,1.83565E-02
-1.592192E-04,6.04984E-01,1.81610E-02
-1.592160E-04,6.04984E-01,1.86497E-02
-1.592128E-04,6.03029E-01,1.83076E-02
-1.592096E-04,6.08894E-01,1.81610E-02
-1.592064E-04,6.10849E-01,1.84054E-02
-1.592032E-04,6.06939E-01,1.85031E-02
-1.592000E-04,6.14759E-01,1.83565E-02
-1.591968E-04,6.12804E-01,1.84054E-02
-1.591936E-04,6.08894E-01,1.82587E-02
-1.591904E-04,6.10849E-01,1.83565E-02
-1.591872E-04,6.08894E-01,1.83076E-02
-1.591840E-04,6.10849E-01,1.82099E-02
-1.591808E-04,6.04984E-01,1.83076E-02
-1.591776E-04,6.12804E-01,1.84054E-02
-1.591744E-04,6.06939E-01,1.82587E-02
-1.591712E-04,6.08894E-01,1.82587E-02
-1.591680E-04,6.12804E-01,1.85520E-02
-1.591648E-04,6.10849E-01,1.80144E-02
-1.591616E-04,6.12804E-01,1.82587E-02
-1.591584E-04,6.08894E-01,1.87475E-02
-1.591552E-04,6.18669E-01,1.82099E-02
-1.591520E-04,6.14759E-01,1.83076E-02
-1.591488E-04,6.12804E-01,1.87475E-02
-1.591456E-04,6.14759E-01,1.83076E-02
-1.591424E-04,6.12804E-01,1.83565E-02
-1.591392E-04,6.16714E-01,1.86009E-02
-1.591360E-04,6.18669E-01,1.83565E-02
-1.591328E-04,6.20624E-01,1.81121E-02
-1.591296E-04,6.12804E-01,1.84542E-02
-1.591264E-04,6.12804E-01,1.83076E-02
-1.591232E-04,6.14759E-01,1.82587E-02
-1.591200E-04,6.16714E-01,1.84054E-02
-1.591168E-04,6.18669E-01,1.81121E-02
-1.591136E-04,6.20624E-01,1.83076E-02
-1.591104E-04,6.16714E-01,1.82587E-02
-1.591072E-04,6.18669E-01,1.80632E-02
-1.591040E-04,6.18669E-01,1.84054E-02
-1.591008E-04,6.18669E-01,1.83565E-02
-1.590976E-04,6.16714E-01,1.80144E-02
-1.590944E-04,6.24534E-01,1.83076E-02
-1.590912E-04,6.18669E-01,1.87475E-02
-1.590880E-04,6.20624E-01,1.81610E-02
-1.590848E-04,6.20624E-01,1.83565E-02
-1.590816E-04,6.18669E-01,1.88452E-02
-1.590784E-04,6.18669E-01,1.85031E-02
-1.590752E-04,6.22579E-01,1.83565E-02
-1.590720E-04,6.18669E-01,1.88941E-02
-1.590688E-04,6.24534E-01,1.87475E-02
-1.590656E-04,6.24534E-01,1.85520E-02
-1.590624E-04,6.24534E-01,1.89919E-02
-1.590592E-04,6.22579E-01,1.86986E-02
-1.590560E-04,6.20624E-01,1.86009E-02
-1.590528E-04,6.20624E-01,1.92362E-02
-1.590496E-04,6.22579E-01,1.87964E-02
-1.590464E-04,6.18669E-01,1.88941E-02
-1.590432E-04,6.20624E-01,1.92362E-02
-1.590400E-04,6.22579E-01,1.87964E-02
-1.590368E-04,6.26489E-01,1.89430E-02
-1.590336E-04,6.24534E-01,1.89430E-02
-1.590304E-04,6.20624E-01,1.84542E-02
-1.590272E-04,6.24534E-01,1.90896E-02
-1.590240E-04,6.22579E-01,1.92362E-02
-1.590208E-04,6.24534E-01,1.83565E-02
-1.590176E-04,6.26489E-01,1.90407E-02
